Open,High,Low,Close,Volume,Close Time
29244.24,29244.24,29241.32,29241.33,7.9515,1683262499999.0
29241.32,29241.33,29233.42,29233.43,9.41375,1683262559999.0
29233.42,29233.43,29225.28,29226.15,17.69228,1683262619999.0
29226.15,29226.16,29222.41,29222.41,10.51896,1683262679999.0
29222.41,29222.42,29216.86,29217.0,15.37071,1683262739999.0
29217.01,29228.98,29217.0,29228.08,12.49056,1683262799999.0
29228.08,29228.97,29226.2,29228.97,17.5536,1683262859999.0
29228.97,29230.88,29227.71,29230.88,12.78187,1683262919999.0
29230.88,29230.88,29221.66,29221.66,11.8565,1683262979999.0
29221.66,29225.13,29221.66,29225.13,7.91047,1683263039999.0
29225.13,29225.13,29223.18,29223.18,5.33878,1683263099999.0
29223.19,29223.19,29223.18,29223.19,2.46647,1683263159999.0
29223.18,29223.19,29218.44,29218.45,7.29598,1683263219999.0
29218.44,29218.45,29214.61,29214.61,11.99984,1683263279999.0
29214.61,29214.62,29200.01,29203.45,43.46924,1683263339999.0
29203.45,29203.45,29195.76,29195.77,16.52077,1683263399999.0
29195.76,29208.46,29195.76,29208.46,24.39075,1683263459999.0
29208.46,29215.06,29208.45,29212.68,10.73458,1683263519999.0
29212.69,29212.69,29206.03,29206.03,5.50146,1683263579999.0
29206.04,29206.04,29191.58,29191.59,13.66903,1683263639999.0
29191.58,29198.75,29191.58,29197.76,17.91405,1683263699999.0
29197.77,29202.15,29192.1,29192.11,26.10493,1683263759999.0
29192.11,29192.11,29181.0,29181.0,11.48092,1683263819999.0
29181.01,29181.01,29173.26,29175.92,14.01723,1683263879999.0
29175.93,29175.93,29169.99,29173.5,16.89193,1683263939999.0
29173.49,29173.5,29167.41,29169.12,8.81933,1683263999999.0
29169.11,29174.3,29169.11,29172.29,12.56664,1683264059999.0
29172.3,29172.3,29168.58,29168.58,6.77554,1683264119999.0
29168.59,29170.63,29157.56,29157.57,25.86361,1683264179999.0
29157.56,29179.69,29157.56,29175.68,33.60073,1683264239999.0
29175.67,29188.25,29175.67,29188.25,9.40265,1683264299999.0
29188.24,29189.51,29174.01,29174.01,13.83095,1683264359999.0
29174.01,29189.1,29174.01,29189.1,16.02983,1683264419999.0
29189.1,29204.45,29189.09,29204.44,16.96044,1683264479999.0
29204.43,29210.0,29204.43,29209.97,14.02253,1683264539999.0
29209.98,29209.98,29209.11,29209.11,10.78798,1683264599999.0
29209.11,29209.12,29205.71,29207.79,13.97473,1683264659999.0
29207.79,29207.8,29204.43,29204.44,3.57575,1683264719999.0
29204.43,29204.44,29199.31,29199.31,5.85558,1683264779999.0
29199.32,29204.44,29199.31,29200.25,8.64153,1683264839999.0
29200.26,29223.21,29200.25,29223.21,25.70655,1683264899999.0
29223.21,29223.21,29218.79,29218.8,13.82183,1683264959999.0
29218.8,29218.8,29212.25,29212.25,8.01485,1683265019999.0
29212.25,29212.45,29207.75,29210.95,15.63793,1683265079999.0
29210.95,29210.95,29209.18,29209.19,7.12194,1683265139999.0
29209.18,29219.02,29209.18,29219.02,6.75826,1683265199999.0
29219.02,29219.03,29208.23,29213.01,32.22494,1683265259999.0
29213.01,29227.42,29213.0,29227.41,14.7105,1683265319999.0
29227.41,29236.67,29227.41,29236.67,28.08405,1683265379999.0
29236.67,29258.77,29236.66,29248.54,49.16225,1683265439999.0
29248.54,29248.55,29236.67,29236.67,21.70222,1683265499999.0
29236.68,29242.13,29232.24,29242.12,19.81441,1683265559999.0
29242.13,29242.13,29235.38,29235.38,10.77441,1683265619999.0
29235.39,29240.12,29228.78,29228.79,19.03853,1683265679999.0
29228.78,29228.79,29210.23,29210.23,15.37837,1683265739999.0
29210.24,29229.27,29210.23,29227.98,26.50207,1683265799999.0
29227.99,29231.43,29227.96,29231.42,10.53696,1683265859999.0
29231.42,29233.92,29217.36,29217.37,19.67392,1683265919999.0
29217.37,29217.37,29209.57,29210.98,16.76819,1683265979999.0
29210.98,29218.54,29210.97,29216.4,7.52215,1683266039999.0
29216.4,29216.72,29216.39,29216.72,3.18591,1683266099999.0
29216.71,29223.27,29216.71,29220.77,8.11921,1683266159999.0
29220.78,29220.78,29220.77,29220.77,3.6725,1683266219999.0
29220.78,29220.78,29210.28,29210.28,8.00468,1683266279999.0
29210.29,29210.29,29203.5,29207.46,22.81531,1683266339999.0
29207.47,29209.99,29198.0,29198.0,10.1337,1683266399999.0
29198.01,29204.58,29198.0,29204.57,7.48608,1683266459999.0
